Post type,Title,Post url,Author(s),Date and time posted,Tags,No. of comments
article,Would Democrats Rather Face Donald Trump Or Ron DeSantis in 2024?,https://fivethirtyeight.com/features/would-democrats-rather-face-donald-trump-or-ron-desantis-in-2024/,Alex Samuels,"Mar. 27, 2023, at 6:00 AM",Donald Trump; 2024 Presidential Election; 2024 Election; 2024 Republican Primary; Ron DeSantis,28
article,"Unions Have Been Under Attack For Decades, But Michigan Just Gave Them A Big Win",https://fivethirtyeight.com/features/unions-have-been-under-attack-for-decades-but-michigan-just-gave-them-a-big-win/,Monica Potts,"Mar. 24, 2023, at 3:37 PM",Partisanship; State Legislatures; Labor; Unions,11
article,Which Taylor Swift Album Is The Most Popular?,https://fivethirtyeight.com/features/taylor-swift-eras-tour-polling/,Nathaniel Rakich,"Mar. 24, 2023, at 6:00 AM",Polling; Polls; Pollapalooza; Pollsters; Music; Pop Music; Margin Of Error,5
podcast,Will Voters Care If Trump Gets Indicted?,https://fivethirtyeight.com/videos/will-voters-care-if-trump-gets-indicted/,Galen Druke; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 23, 2023",Donald Trump; Politics Podcast; Video; 2024 Presidential Election; Stormy Daniels,16
podcast,Politics Podcast: The Manhattan DA Might Be The Least Of Trump's Legal Worries ,https://fivethirtyeight.com/features/politics-podcast-the-manhattan-da-might-be-the-least-of-trumps-legal-worries/,Galen Druke; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 23, 2023",Donald Trump; FiveThirtyEight Podcasts; Politics Podcast; Jan. 6 Investigation,3
video,Why Is Biden Moving To The Political Center?,https://fivethirtyeight.com/videos/why-is-biden-moving-to-the-political-center/,Nathaniel Rakich; Tony Chow,"Mar. 23, 2023","Video; Joe Biden; Polling; 2022 Election; Featured video; The Biden Administration; Presidential Approval; 2024 Presidential Election; 2024 Election; ""Whats The Deal""",16
article,Recess Is Good For Kids. Why Don’t More States Require It?,https://fivethirtyeight.com/features/recess-is-good-for-kids-why-dont-more-states-require-it/,Monica Potts,"Mar. 23, 2023, at 6:00 AM",Education; State Legislatures; Schools; Child development; Play; Recess,7
article,What We Know About Trump’s Legal Troubles,https://fivethirtyeight.com/features/what-we-know-about-trumps-legal-troubles/,Amelia Thomson-DeVeaux,"Mar. 22, 2023, at 12:57 PM",Donald Trump; 2020 Election; Jan. 6 Investigation; Michael Cohen; Election Fraud; Justice Department,15
article,What Happens If Trump Is Indicted?,https://fivethirtyeight.com/features/trump-indictment-2024-election-chat/,Nathaniel Rakich; Amelia Thomson-DeVeaux; Geoffrey Skelley; Kaleigh Rogers,"Mar. 21, 2023, at 1:16 PM",Donald Trump; Slack Chat; 2024 Election; Scandals; 2024 Republican Primary; Stormy Daniels,14
article,States Are Cracking Down On Militias — Except For Idaho,https://fivethirtyeight.com/features/state-militia-laws/,Kaleigh Rogers,"Mar. 21, 2023, at 6:00 AM",Oregon; New Mexico; State Legislatures; Vermont; Idaho; Militias; Political Violence,10
podcast,Bank Bailout Politics 2.0,https://fivethirtyeight.com/videos/bank-bailout-politics-2-0/,Galen Druke; Nate Silver; Santul Nerkar; Monica Potts,"Mar. 20, 2023",Politics Podcast; Video; Bailout; Financial Regulation; Financial Crisis,6
podcast,"20 Years After The Iraq Invasion, Are Americans More Skeptical Of Getting Involved Abroad?",https://fivethirtyeight.com/videos/20-years-after-the-iraq-invasion-are-americans-more-skeptical-of-getting-involved-abroad/,Galen Druke; Nate Silver; Geoffrey Skelley,"Mar. 20, 2023",Politics Podcast; Video; Iraq; Iraq War,4
podcast,"Politics Podcast: The 2000s Called, They Want Their Politics Back ",https://fivethirtyeight.com/features/politics-podcast-the-2000s-called-they-want-their-politics-back/,Galen Druke; Nate Silver; Monica Potts; Santul Nerkar; Geoffrey Skelley,"Mar. 20, 2023",FiveThirtyEight Podcasts; Politics Podcast; Iraq War; Financial Crisis,4
article,"20 Years After The Invasion Of Iraq, Americans Still Want The U.S. Involved In World Affairs",https://fivethirtyeight.com/features/20-years-after-the-invasion-of-iraq-americans-still-want-the-u-s-involved-in-world-affairs/,Geoffrey Skelley,"Mar. 20, 2023, at 6:00 AM",Polls; Partisanship; Ukraine; Iraq War; Isolationism,15
article,It’s Not Just Silicon Valley Bank — Americans Haven’t Trusted Banks For Years,https://fivethirtyeight.com/features/its-not-just-silicon-valley-bank-americans-havent-trusted-banks-for-years/,Kaleigh Rogers,"Mar. 17, 2023, at 6:00 AM",Pollapalooza; Economy; Recession; Financial Regulation; Societal Distrust,9
podcast,The Hidden Stories In The U.S. Census ,https://fivethirtyeight.com/features/u-s-census-hidden-stories/,Galen Druke,"Mar. 16, 2023",FiveThirtyEight Podcasts; Politics Podcast; Video; Featured video; Census,6
article,How Did State Supreme Court Races Get So Expensive?,https://fivethirtyeight.com/features/wisconsin-state-supreme-court-spending/,Nathaniel Rakich,"Mar. 16, 2023, at 6:00 AM",Supreme Court; State Legislatures; Campaign Finance; 2023 Election,6
article,Democratic Dads Think It’s Gotten Easier To Raise Kids. Democratic Moms Disagree.,https://fivethirtyeight.com/features/dads-caucus-parenting-survey/,Amelia Thomson-DeVeaux,"Mar. 16, 2023, at 6:00 AM",Congress; Parenting; child tax credit,7
article,Ron DeSantis Is Doubling Down On His Education Crusade. Will It Work With GOP Voters In 2024?,https://fivethirtyeight.com/features/ron-desantis-is-doubling-down-on-his-education-crusade-will-it-work-with-gop-voters-in-2024/,Alex Samuels,"Mar. 15, 2023, at 6:00 AM",Donald Trump; Race and Ethnicity; 2024 Presidential Election; Ron DeSantis; Diversity; Critical Race Theory,16
video,Republican Politicians Are Struggling To Define Drag,https://fivethirtyeight.com/videos/republican-politicians-are-struggling-to-define-drag/,Kaleigh Rogers; Julian Kim,"Mar. 14, 2023",Video; Featured video; State Legislatures; GOP; LGBTQ; Drag; Election 2024; Laboratories of Democracy; Trans Rights,15
article,Republicans Lawmakers Are Trying To Ban Drag. First They Have To Define It.,https://fivethirtyeight.com/features/republicans-lawmakers-are-trying-to-ban-drag-first-they-have-to-define-it/,Kaleigh Rogers,"Mar. 14, 2023, at 6:00 AM",Gay Rights; State Legislatures; GOP; Extremism; Drag,8
article,What Does the Silicon Valley Bank Collapse Mean For The Economy?,https://fivethirtyeight.com/features/the-silicon-valley-bank-collapse/,Amelia Thomson-DeVeaux; Monica Potts; Santul Nerkar,"Mar. 14, 2023, at 6:00 AM",Slack Chat; Bailout; Recession; Great Recession; Economics,11
podcast,Where The Debate Over Abortion Stands,https://fivethirtyeight.com/videos/where-the-debate-over-abortion-stands-in-2023/,Galen Druke; Amelia Thomson-DeVeaux,"Mar. 13, 2023",Politics Podcast; Video; 2022 Midterms; Abortion; Roe V. Wade,5
podcast,Polls Haven’t Been This Accurate Since At Least 1998,https://fivethirtyeight.com/videos/polls-havent-been-this-accurate-since-at-least-1998/,Galen Druke; Nate Silver; Nathaniel Rakich,"Mar. 13, 2023",Politics Podcast; Video; Polling; 2022 Midterms,5
podcast,Politics Podcast: This Is The Best Pollster In America ,https://fivethirtyeight.com/features/politics-podcast-this-is-the-best-pollster-in-america/,Galen Druke; Nate Silver; Nathaniel Rakich; Amelia Thomson-DeVeaux,"Mar. 13, 2023",FiveThirtyEight Podcasts; Politics Podcast; Polling; Abortion; Pollster Ratings,5
article,Red States Are Fighting Their Blue Cities,https://fivethirtyeight.com/features/how-red-states-are-fighting-their-blue-cities/,Monica Potts,"Mar. 13, 2023, at 6:00 AM",Partisanship; Cities; Rural; Urban; Red States; Blue Cities; Federalism,10
article,There’s A Racial Bias on Police Facebook Pages,https://fivethirtyeight.com/features/police-facebook-posts-racial-bias/,Maggie Koerth,"Mar. 13, 2023, at 6:00 AM",Race; Crime; Facebook; Racism; Police; Crime Data,4
video,The Polls Got It Right In 2022. Here Are The Pollsters To Trust.,https://fivethirtyeight.com/videos/polls-arent-dead-here-are-the-pollsters-to-trust/,Nathaniel Rakich; Tony Chow,"Mar. 10, 2023","Video; Polling; Polls; 2022 Election; Featured video; Pollsters; Pollster Ratings; ""Whats The Deal""",5
article,The Polls Were Historically Accurate In 2022,https://fivethirtyeight.com/features/2022-election-polling-accuracy/,Nathaniel Rakich,"Mar. 10, 2023, at 6:00 AM",Polling; Polls; 2022 Election; Generic Ballot; Pollsters; Pollster Ratings; Polling Accuracy; Polling Bias,15
article,Americans Want Tighter Railroad Regulations After The Ohio Train Derailment,https://fivethirtyeight.com/features/railroad-safety-polls-east-palestine-train/,Cooper Burton,"Mar. 10, 2023, at 6:00 AM",Joe Biden; Polls; COVID-19; Pollapalooza; Pete Buttigieg; Oscars; Transportation; Misinformation,5
article,How Our Pollster Ratings Work,https://fivethirtyeight.com/methodology/how-our-pollster-ratings-work/,Nathaniel Rakich,"Mar. 10, 2023",Methodology; Methodology,4
podcast,What Would Happen If Trump Was A Third-Party Candidate In 2024?,https://fivethirtyeight.com/videos/what-would-happen-if-trump-was-a-third-party-candidate-in-2024/,Galen Druke; Nate Silver,"Mar. 9, 2023",Donald Trump; Politics Podcast; Video; 2024 Election; 2024 Republican Primary; mailbag,6
podcast,Politics Podcast: Few Americans Think AI Will Do More Good Than Harm ,https://fivethirtyeight.com/features/politics-podcast-few-americans-think-ai-will-do-more-good-than-harm/,Galen Druke; Nate Silver,"Mar. 9, 2023",FiveThirtyEight Podcasts; Politics Podcast; Polling; 2024 Presidential Election; Artificial Intelligence,7
article,"Some GOP Legislators Are Trying To Show They’re Pro-Life, Not Just Anti-Abortion",https://fivethirtyeight.com/features/gop-legislators-trying-pro-life-not-just-anti-abortion/,Amelia Thomson-DeVeaux,"Mar. 9, 2023, at 11:13 AM",Abortion; Access To Abortion; Medicaid; Red States,8
video,Why Is 2 Percent The Federal Reserve’s Magic Number For Inflation?,https://fivethirtyeight.com/videos/why-is-2-percent-the-federal-reserves-magic-number-for-inflation/,Santul Nerkar; Anna Rothschild,"Mar. 9, 2023",Video; Featured video; Economy; Inflation; Federal Reserve,8
article,The Fed’s Inflation Goal Is Completely Arbitrary,https://fivethirtyeight.com/features/why-the-feds-want-2-percent-inflation/,Santul Nerkar,"Mar. 9, 2023, at 6:00 AM",Economy; Inflation; Federal Reserve; Economics; Interest Rates,7
article,Does CPAC Even Matter Anymore?,https://fivethirtyeight.com/features/cpac-irrelevant/,Nathaniel Rakich; Monica Potts; Kaleigh Rogers,"Mar. 8, 2023, at 6:00 AM",Donald Trump; Republican Party; Conservatives; 2024 Republican Primary; Ron DeSantis; CPAC,14
article,Does It Matter Where COVID-19 Came From?,https://fivethirtyeight.com/features/covid-lab-leak/,Maggie Koerth,"Mar. 7, 2023, at 6:00 AM",COVID-19; Coronavirus; China,17
article,The House Is About To Have 435 Members. That’s Pretty Rare.,https://fivethirtyeight.com/features/house-435-members-pretty-rare/,Geoffrey Skelley,"Mar. 7, 2023, at 6:00 AM",Congress; House of Representatives; Scandals; Retirements; Full Count; Resignation,3
article,How Asian Americans Came To Play A Central Role In The Battle Over Affirmative Action,https://fivethirtyeight.com/features/supreme-court-affirmative-action/,Alex Samuels,"Mar. 7, 2023, at 6:00 AM",Supreme Court; College; Affirmative Action; Asian Americans; Harvard,10
podcast,Why Lori Lightfoot Lost The Chicago Mayor’s Race,https://fivethirtyeight.com/videos/why-lori-lightfoot-lost-the-chicago-mayors-race/,Galen Druke; Nate Silver; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 6, 2023",Politics Podcast; Video; Virginia; Wisconsin; Chicago; Mayoral Elections,7
podcast,The Poll That Ended Dilbert,https://fivethirtyeight.com/videos/the-poll-that-ended-dilbert/,Galen Druke; Nate Silver; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 6, 2023",Politics Podcast; Video; Polling; Racism,6
podcast,Could Biden Be Vulnerable In A Primary?,https://fivethirtyeight.com/videos/could-biden-be-vulnerable-in-a-primary/,Galen Druke; Nate Silver; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 6, 2023",Politics Podcast; Video; Joe Biden; Marianne WIlliamson; 2024 Democratic Primary,5
podcast,Politics Podcast: The Poll That Ended Dilbert ,https://fivethirtyeight.com/features/politics-podcast-the-poll-that-ended-dilbert/,Galen Druke; Nate Silver; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 6, 2023",FiveThirtyEight Podcasts; Politics Podcast; Polling; Chicago; Marianne WIlliamson,3
article,"Do Americans Like Donald Trump, Nikki Haley or Ron DeSantis?",https://fivethirtyeight.com/features/trump-desantis-pence-election-polls/,Geoffrey Skelley,"Mar. 6, 2023, at 6:00 AM",Donald Trump; Favorability Ratings; Mike Pence; 2024 Election; 2024 Republican Primary; Ron DeSantis; Nikki Haley,12
article,Americans Like Biden’s Student Debt Forgiveness Plan. The Supreme Court … Not So Much.,https://fivethirtyeight.com/features/samuels-student-debt-forgiveness-0303/,Alex Samuels,"Mar. 3, 2023, at 6:00 AM",Joe Biden; Supreme Court; Pollapalooza; Student Debt,12
article,The Perks Workers Want Also Make Them More Productive,https://fivethirtyeight.com/features/employee-perks-future-of-work/,Monica Potts,"Mar. 3, 2023, at 6:00 AM",Labor Force; Paid Leave; Productivity; 4 Day Workweek; Remote Work; Workers,8
podcast,How The Federal Reserve Is The Shadow Branch Of The Government,https://fivethirtyeight.com/videos/how-the-federal-reserve-is-the-shadow-branch-of-the-government/,Galen Druke,"Mar. 2, 2023",Politics Podcast; Video; Economy; Inflation; Federal Reserve,5
podcast,Politics Podcast: Why The Federal Reserve's Power Is 'Limitless' ,https://fivethirtyeight.com/features/politics-podcast-why-the-federal-reserves-power-is-limitless/,Galen Druke,"Mar. 2, 2023",FiveThirtyEight Podcasts; Politics Podcast; Economy; Democracy; Federal Reserve,4
article,Democrats Are Open To Ditching Biden In 2024,https://fivethirtyeight.com/features/biden-2024-marianne-williamson/,Nathaniel Rakich,"Mar. 2, 2023, at 6:00 AM",Joe Biden; Polling; Polls; Approval Ratings; Favorability Ratings; 2024 Presidential Election; 2024 Election; Electability; Marianne WIlliamson; 2024 Democratic Primary,23
article,What Are The Most Vulnerable Senate Seats In 2024?,https://fivethirtyeight.com/features/2024-top-senate-races-chat/,Alex Samuels; Nathaniel Rakich; Geoffrey Skelley,"Mar. 1, 2023, at 6:00 AM",Slack Chat; 2024 Election; 2024 Senate Elections,10
article,Are We Headed For A Recession Or Not?,https://fivethirtyeight.com/features/are-we-headed-for-a-recession-or-not/,Santul Nerkar; Amelia Thomson-DeVeaux,"Feb. 28, 2023, at 6:00 AM",Economy; Unemployment; Inflation; Recession; Economists; Economic Policy,11
podcast,Why Original Predictions About The War In Ukraine Were So Off,https://fivethirtyeight.com/videos/why-original-predictions-about-the-war-in-ukraine-were-so-off/,Galen Druke,"Feb. 27, 2023",Politics Podcast; Video; Russia; Ukraine; Ukraine Crisis; Vladimir Putin,6
podcast,Politics Podcast: How The War In Ukraine Could Go Nuclear ,https://fivethirtyeight.com/features/politics-podcast-how-the-war-in-ukraine-could-go-nuclear/,Galen Druke,"Feb. 27, 2023",FiveThirtyEight Podcasts; Politics Podcast; Ukraine; Nuclear Weapons; Russia Invasion,4
video,Will Democrats Rally Behind President Biden In 2024?,https://fivethirtyeight.com/videos/do-you-buy-that-democrats-will-rally-behind-president-biden-in-2024/,Nate Silver,"Feb. 27, 2023",Video; Joe Biden; 2022 Election; Featured video; Do You Buy That,9
article,Why You Shouldn’t Read Too Much Into Democrats’ Good February,https://fivethirtyeight.com/features/special-elections-february-democrats-overperform/,Nathaniel Rakich,"Feb. 27, 2023, at 6:00 AM",Pennsylvania; Special Elections; Wisconsin; State Legislatures; 2024 Election,10
article,ChatGPT Thinks Americans Are Excited About AI. Most Are Not.,https://fivethirtyeight.com/features/chatgpt-thinks-americans-are-excited-about-ai-most-are-not/,Amelia Thomson-DeVeaux; Curtis Yee,"Feb. 24, 2023, at 6:00 AM",Pollapalooza; Public Opinion; Robots; Artificial Intelligence; ChatGPT,7
article,Why An Abortion Drug Approved 20 Years Ago Might Get Yanked From The Market,https://fivethirtyeight.com/features/mifepristone-lawsuit-fda-approval/,Maggie Koerth; Amelia Thomson-DeVeaux,"Feb. 23, 2023, at 1:57 PM",Abortion; FDA; Drug Policy; Pharmaceuticals; Mifepristone,16
article,How The Cool Kid Of Progressive Politics Gambled It All Away,https://fivethirtyeight.com/features/how-the-cool-kid-of-progressive-politics-gambled-it-all-away/,Kaleigh Rogers,"Feb. 23, 2023, at 6:00 AM",Polling; Elections; Betting Markets; Data for Progress; Sean McElwee,7
article,Why We’re Preemptively Banning A Pollster — And Not Banning Another,https://fivethirtyeight.com/features/why-were-preemptively-banning-a-pollster-and-not-banning-another/,Nathaniel Rakich; Mary Radcliffe,"Feb. 23, 2023, at 6:00 AM",Polling; Polls; Polling Bias; Data for Progress,8
article,Which Republicans Could Vote For A Debt Ceiling Increase?,https://fivethirtyeight.com/features/which-republicans-could-vote-for-a-debt-ceiling-increase/,Geoffrey Skelley,"Feb. 22, 2023, at 6:00 AM",Congress; Senate Republicans; House Republicans; Debt Ceiling; Moderates,12
article,How Did TikTok Bans Go Viral In State Legislatures?,https://fivethirtyeight.com/features/bipartisan-tiktok-bans-state-legislatures/,Alex Samuels,"Feb. 22, 2023, at 6:00 AM",Donald Trump; State Legislatures; China; Social Media; TikTok,3
podcast,Kyrsten Sinema’s Odds Of Reelection Don’t Look Great,https://fivethirtyeight.com/videos/kyrsten-sinemas-odds-of-reelection-dont-look-great/,Galen Druke; Amelia Thomson-DeVeaux; Geoffrey Skelley,"Feb. 21, 2023",Donald Trump; Politics Podcast; Video; Georgia; Arizona; Ukraine; Kyrsten Sinema; Mayoral Elections; Pennsylvania Senate,5
podcast,Politics Podcast: Some Republicans Are Souring On Aid To Ukraine ,https://fivethirtyeight.com/features/politics-podcast-some-republicans-are-souring-on-aid-to-ukraine/,Galen Druke; Amelia Thomson-DeVeaux; Geoffrey Skelley,"Feb. 21, 2023",Donald Trump; FiveThirtyEight Podcasts; Politics Podcast; Arizona; Ukraine; Politics,5
video,Why Democrats Are Worried About 2024 Senate Elections,https://fivethirtyeight.com/videos/why-democrats-are-worried-about-2024-senate-elections/,Nathaniel Rakich; Tony Chow,"Feb. 21, 2023",Video; Featured video; Senate; 2024 Election,11
article,Most Americans Think House Republicans Aren’t Investigating Real Problems,https://fivethirtyeight.com/features/most-americans-think-house-republicans-arent-investigating-real-problems/,Amelia Thomson-DeVeaux,"Feb. 21, 2023, at 6:00 AM",Joe Biden; Public Opinion; Congressional Investigations; Congressional Hearings; Conflict of Interest,14
article,The Hardest Part Of Red Flag Laws Isn’t Getting Them Passed,https://fivethirtyeight.com/features/michigan-shooting-red-flag-laws/,Maggie Koerth,"Feb. 17, 2023, at 2:10 PM",Gun Violence; Gun Control; Mass Shootings; Gun Deaths; Michigan Politics,6
article,Biden’s Administration Says It’s Not Shooting Down Alien Life. Americans Still Want To Believe.,https://fivethirtyeight.com/features/bidens-administration-says-its-not-shooting-down-ufos-americans-still-want-to-believe/,Monica Potts,"Feb. 17, 2023, at 6:00 AM",Pollapalooza; China; National Security; Polla; UFO; Aliens; Mulder,14
podcast,Nikki Haley Has Tough Competition In Trump And DeSantis,https://fivethirtyeight.com/videos/nikki-haley-has-tough-competition-in-trump-and-desantis/,Galen Druke; Nate Silver; Amelia Thomson-DeVeaux,"Feb. 16, 2023",Politics Podcast; Video; 2024 Election; 2024 Republican Primary; Nikki Haley,11
podcast,Politics Podcast: Could Nikki Haley Actually Win The GOP Nomination? ,https://fivethirtyeight.com/features/politics-podcast-could-nikki-haley-actually-win-the-gop-nomination/,Galen Druke; Nate Silver; Amelia Thomson-DeVeaux,"Feb. 16, 2023",Donald Trump; FiveThirtyEight Podcasts; Politics Podcast; Politics; 2024 Presidential Election; 2024 Republican Primary; Ron DeSantis; Nikki Haley,5
article,Why So Many States Want to Ban China From Owning Farmland,https://fivethirtyeight.com/features/why-so-many-states-want-to-ban-china-from-owning-farmland/,Monica Potts,"Feb. 16, 2023, at 6:00 AM",State Legislatures; China; National Security; Farming; Agriculture,15
article,The 4 Main Factions Of The House Democratic Caucus,https://fivethirtyeight.com/features/the-4-main-factions-of-the-house-democratic-caucus/,Alex Samuels,"Feb. 15, 2023, at 6:00 AM",House Democrats; House of Representatives; Progressives; The Squad,12
video,"Who Is Nikki Haley, Trump’s First Major Challenger?",https://fivethirtyeight.com/videos/who-is-nikki-haley-trumps-first-major-challenger/,Michael Tabb,"Feb. 14, 2023",Video; Featured video; 2024 Election; 2024 Republican Primary; Nikki Haley,7
article,Nikki Haley Is The First Woman of Color To Run For The Republican Nomination,https://fivethirtyeight.com/features/nikki-haley-is-taking-on-trump/,Amelia Thomson-DeVeaux; Meredith Conroy,"Feb. 14, 2023, at 10:00 AM",Donald Trump; 2024 Election; 2024 Republican Primary; Women in Politics; Nikki Haley; Republican Women,23
article,Americans Are Increasingly Single And OK With It,https://fivethirtyeight.com/features/more-americans-are-choosing-to-stay-single/,Amelia Thomson-DeVeaux,"Feb. 14, 2023, at 6:00 AM","Gender; Marriage; ""Valentines Day""; Dating; Online Dating",7
article,How This Debt Ceiling Debate Could End,https://fivethirtyeight.com/features/2-ways-this-debt-ceiling-debate-ends/,Geoffrey Skelley,"Feb. 14, 2023, at 6:00 AM",Congress; Economy; House Republicans; Debt Ceiling; Kevin McCarthy,6
podcast,Will GOP Elites Rally Around Someone Other Than Trump In 2024?,https://fivethirtyeight.com/videos/will-gop-elites-rally-around-a-trump-alternative-in-2024/,Galen Druke; Nate Silver; Geoffrey Skelley,"Feb. 13, 2023",Donald Trump; Politics Podcast; Video; Republican Party; 2024 Presidential Election; 2024 Republican Primary,5
podcast,Will UFOs Push U.S.-China Relations To The Brink?,https://fivethirtyeight.com/videos/will-ufos-push-u-s-china-relations-to-the-brink/,Galen Druke; Nate Silver; Geoffrey Skelley,"Feb. 13, 2023",Politics Podcast; Video; China; International Politics; UFO,3
podcast,Biden Says He Doesn’t Believe The Polls. He Should.,https://fivethirtyeight.com/videos/biden-says-he-doesnt-believe-the-polls-he-should/,Galen Druke; Nate Silver; Geoffrey Skelley,"Feb. 13, 2023",Politics Podcast; Video; Joe Biden; Polling; Polls; Presidential Approval,5
podcast,Politics Podcast: American Opinion Of China Has Plummeted ,https://fivethirtyeight.com/features/politics-podcast-american-opinion-of-china-has-plummeted/,Galen Druke; Nate Silver; Geoffrey Skelley,"Feb. 13, 2023",Donald Trump; FiveThirtyEight Podcasts; Politics Podcast; The Biden Administration; Politics; 2024 Presidential Election; Ron DeSantis; China,4
article,Biden’s Cabinet Members Seem To Really Like Their Jobs,https://fivethirtyeight.com/features/biden-cabinet/,Nathaniel Rakich; Alex Newman,"Feb. 13, 2023, at 6:00 AM",The Biden Administration; Trump Cabinet; Cabinet; Biden Cabinet,10
article,What Americans Think About The NFL,https://fivethirtyeight.com/features/are-americans-ready-for-some-football/,Kaleigh Rogers,"Feb. 10, 2023, at 6:00 AM",NFL; Pollapalooza; NFL Playoffs; Concussions; Super Bowl LVII,8
video,When One Party Controls State Government,https://fivethirtyeight.com/videos/whats-the-deal-with-political-trifectas/,Nathaniel Rakich; Tony Chow,"Feb. 9, 2023",Video; Featured video; Partisanship; State Government,9
article,Congress’s U-Turn Has States Thinking About Giving Parents Cash,https://fivethirtyeight.com/features/congresss-u-turn-has-states-thinking-about-giving-parents-cash/,Amelia Thomson-DeVeaux,"Feb. 9, 2023, at 6:00 AM",Parenting; child tax credit,3
article,Why Biden’s Promise Of Police Reform Might Not Lead To Change,https://fivethirtyeight.com/features/why-bidens-promise-of-police-reform-might-not-lead-to-change/,Alex Samuels,"Feb. 8, 2023, at 3:27 PM",Joe Biden; Police Killings; Police Violence; State of the Union; Police Reform,8
podcast,The State Of The Union Was A Preview Of Biden’s Likely Reelection Campaign,https://fivethirtyeight.com/videos/the-state-of-the-union-was-a-preview-of-bidens-likely-reelection-campaign/,Galen Druke; Nathaniel Rakich; Amelia Thomson-DeVeaux,"Feb. 8, 2023",Politics Podcast; Video; The Biden Administration; State of the Union; Biden,5
podcast,Politics Podcast: Biden's Second State Of The Union Was His First Campaign Speech ,https://fivethirtyeight.com/features/politics-podcast-bidens-second-state-of-the-union-was-his-first-campaign-speech/,Galen Druke; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Feb. 8, 2023",FiveThirtyEight Podcasts; Politics Podcast; The Biden Administration; Politics; 2024 Presidential Election; State of the Union,4
