,0_religiosity,0_frequency_religious_practices,0_change_frequency_religious_practices,0_frequency_meditation,0_change_frequency_meditation,0_prior_attention,0_international,0_taking_medication,1_psychedelic_consumed,2_how_times_consumed,2_qualification_experience,2_microdosing_program,2_change_consumption,2_decrease_by_factors,3_psychedelic_but_meaningful,4_psychedelic_last_time,5_psychedelic_reasons,5_other_reason,6_psychoactives_consumed,6_other_psychoactive,7_marihuana,7 stimulants,7_sedatives,7_antidepressants or antipsychotics,7_dissociative,7_mdma,7_other,7_marijuana_decreased_by_external_factors,7_stimulants_decrease_by_external_factors,7_sedatives_reduced_by_external_factors,7_antidepressants or antipsychotics_decreased_by_external_factors,7_dissociative_decreased_by_external_factors,7_mdma_decreased_by_external_factors,7_other_decreased_due_to_external_factors,7_tobacco,7_tobacco_decreased_due_to_external_factors,7_caffeine,7_caffeine_decreased_by_external_factors,7_alcohol,7_alcohol_decreased_by_external_factors,8_calm,8_insurance,8_tense,8_disgusted,8_like_a_fish_in_water,8_changed,8_concerned_possible_problem,8_satisfied,8_scared,8_comfortable,8_confident,8_nervous,8_agitated,8 undecided,8_quiet,8_to_taste,8 worried,8_stunned,8 balanced,8_good,9_good,9_nervous,9_to_taste,9_I_wish_to_be_so_happy,9_sorry_that_failed,9_rested,9_calm_serene_calm,9_difficulties_piling_up,9_I worry_about_unimportant_things,happy,9_bad_thoughts,9_lack_trust,9_insurance,9_decide_quickly,9_out_of_place,9_satisfied,9_unimportant_things_occupy_annoy,9_disappointments_affect,9_person_stable,9_things_between_hands_nervous_tense,10_interested,10 distressed,10_excited_excited,10_affected,10_strong,10_culpable,10_scared,10_aggressive,10 excited,10_satisfied_with_himself,10_irritable,10_awake,10_ashamed,10_inspired,10_nervous,10_decided,10_concentrated,10_agitated,10_active,10_scary,11_I_know_what_I_want_to,11_accept_what_goes_wrong,11_it_imports_to_think_about_the_future,11_I_can_say_what_I_think,11_people_like_me,11_will_achieve_goals,11_story_with_people_who_help,11_in_general_I_get_on_good_with_people,11_I_do_what_I_want,11_capable_of_thinking_life_project,11_accept_mistakes_improve,11_make_decisions_without_hesitating,11_face_obligations_without_problems,12_I_carry_out_plans_until_the_end,12_handling_problems_different_modes,12_do_things_without_depending,12_I keep_interest_important_things,12_take_things_without_concern,12_friendly_withme,12_manage_several_things,12_decided,12_rare_times_I_ask_the_purpose_of_things,12_I_do_things_by_one,12_self_disciplined,12_maintain_interest,12_usually_find_things_to_laugh about,12_confidence_in_my_going_through_difficult_times,12_in_emergencies_you_can_trust_me,12_see_situation_several_points_of_view,12_my_life_has_sense,12_I_don't_insist_in_things_that_I_can't_do_anything,12_meeting_exit_in_difficult_situation,12_I_have_energy_for_what_I_have_to_do,12_I_feel_comfortable_if_there_are_people_who_don't_like_me,13_login_disclaimer_fork,hash
10,0,5,50,5,50,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,3,1,1,3,1,1,3,1,3,3,1,1,1,4,4,1,1,3,4,3,3,4,1,1,2,2,3,3,2,2,1,3,2,2,2,3,3,2,4,3,2,3,3,4,2,1,2,4,3,5,3,4,2,4,4,3,3,3,2,1,2,1,1,2,2,1,2,1,1,1,2,2,7,3,5,7,2,3,2,5,5,4,6,6,6,5,7,5,7,1,4,4,2,2,9050029635563928537
11,11,5,50,4,51,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,71,0,-999,-999,2,2,1,1,1,1,2,2,2,2,2,2,1,3,3,1,2,2,1,2,3,2,2,1,2,2,3,2,3,3,3,2,2,2,2,2,3,2,1,2,3,2,4,2,3,1,1,1,4,3,2,3,3,3,2,2,1,2,3,1,2,1,1,3,3,2,1,2,2,2,2,3,2,4,4,3,7,6,3,1,1,3,4,5,4,6,4,2,5,4,3,4,5,2,2,6501695138377315772
12,15,5,50,4,37,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"4,8",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,84,0,57,0,3,2,2,2,1,1,3,2,1,4,3,2,1,3,3,4,2,2,4,2,3,2,3,2,3,1,2,2,4,2,2,2,3,1,2,2,2,1,4,2,3,1,2,1,5,1,1,1,3,3,2,1,1,4,2,3,2,1,3,2,2,1,1,1,2,2,2,2,1,1,1,3,2,5,4,4,7,4,2,4,4,5,3,3,5,6,3,6,7,7,4,3,5,1,2,3237050958562986747
13,0,5,50,5,50,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,4,8",-999,0,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,-999,-999,77,0,9,0,2,2,3,2,2,2,2,1,1,2,1,2,1,2,2,2,3,1,1,2,2,1,3,3,2,1,2,2,3,2,3,1,2,2,1,1,3,1,2,4,3,1,2,2,2,5,1,1,2,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,3,3,5,5,3,4,2,4,1,5,1,5,1,1,6,5,6,7,4,4,5,3,5,2,63092104572912763
14,53,4,51,4,75,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,8",-999,0,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,0,0,0,0,73,0,2,3,2,2,2,2,3,3,2,3,2,1,1,2,3,2,2,1,3,3,3,2,3,3,2,3,2,2,4,3,2,2,3,2,2,3,3,3,3,3,4,2,3,3,4,2,2,2,3,4,2,3,1,4,1,3,3,1,3,2,1,1,1,1,2,2,2,1,2,1,2,3,2,5,5,3,5,4,5,5,3,1,4,5,5,6,3,6,4,5,2,5,5,3,2,-5801646066455230903
15,29,2,49,5,50,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"4,8",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,0,0,0,3,2,1,1,3,1,2,3,2,3,2,1,1,2,2,3,2,1,2,2,3,2,1,4,3,3,3,2,3,3,2,3,2,1,2,2,2,3,3,2,3,1,4,1,3,1,1,1,4,2,2,4,1,2,1,3,3,1,2,1,1,3,1,3,2,2,1,2,1,1,1,3,2,6,5,6,5,2,2,3,2,3,5,6,5,6,4,5,5,4,3,5,4,5,2,5304862317661215138
16,0,5,50,5,50,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,8",-999,50,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,51,0,48,0,27,0,3,3,1,1,3,1,2,3,1,3,3,2,1,1,4,4,1,1,3,3,3,2,3,1,2,3,2,1,2,4,2,2,3,3,1,3,2,3,3,1,4,1,4,1,4,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,2,1,2,1,1,1,1,1,1,2,1,2,2,5,4,6,6,5,6,6,6,4,6,3,5,6,5,7,6,7,3,6,5,2,2,-2691205186513517224
17,0,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,8",-999,0,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,100,0,0,0,4,true,3,4,2,1,1,1,1,3,1,2,2,1,1,1,2,3,1,1,3,3,2,1,1,2,1,3,2,2,2,4,2,4,3,4,2,3,4,3,4,4,4,1,3,4,3,1,1,1,1,3,2,5,1,1,1,1,1,1,4,1,2,2,1,1,1,1,1,1,1,2,1,2,1,6,7,6,7,4,4,5,6,1,4,6,6,6,2,6,7,6,4,6,6,6,2,-3061003695239077339
18,0,5,50,4,53,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,5,8",-999,72,-999,50,-999,-999,-999,-999,0,-999,0,-999,-999,-999,-999,50,0,50,0,52,0,3,3,2,3,1,2,2,1,1,3,2,2,2,3,2,1,2,2,2,1,1,2,1,2,3,1,2,3,3,2,3,3,2,1,3,1,3,2,2,3,2,4,2,4,1,4,2,4,2,2,4,2,4,3,3,1,2,3,1,3,3,1,1,2,3,2,1,1,1,1,1,2,3,3,6,3,6,6,3,6,3,2,2,2,2,6,5,6,6,6,3,6,2,4,2,6256599667721211170
19,68,2,28,4,41,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"2,4,6,8",-999,-999,-999,-999,64,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,60,0,0,0,0,0,3,2,2,3,3,2,4,3,3,4,2,3,1,3,4,4,2,1,3,4,3,3,2,4,3,2,1,3,3,3,1,4,2,3,3,3,3,4,3,3,5,4,5,3,4,1,5,2,5,4,4,3,2,4,4,4,4,4,4,5,3,1,1,1,1,1,1,1,1,2,1,2,2,5,6,6,7,5,7,7,6,5,5,6,7,7,4,6,6,7,1,6,7,5,2,7224732200185249573
20,17,4,16,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,68,0,3,2,1,1,2,1,2,3,1,3,3,1,1,1,2,3,2,1,3,3,3,2,4,2,2,2,3,2,3,4,1,2,3,2,1,3,2,2,4,4,3,2,5,2,4,1,3,1,5,5,1,3,1,3,1,4,4,1,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,4,4,7,4,7,4,5,3,4,5,6,7,7,7,7,7,4,5,6,2,2,-3123125543068143608
21,0,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"4,8",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,5,0,3,3,3,2,2,1,2,3,2,2,2,1,1,2,3,2,2,1,4,4,4,2,3,2,1,3,4,2,1,4,2,1,3,4,1,3,2,2,4,3,1,3,4,3,3,1,1,2,3,3,1,3,1,1,2,1,1,2,3,1,2,2,1,1,1,2,1,1,1,2,2,2,2,4,5,4,4,6,6,3,3,6,4,2,4,7,6,7,7,6,4,4,4,4,2,6417203587799580189
22,100,1,70,2,74,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"4,8",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,0,46,0,3,2,2,1,3,1,2,3,2,4,2,1,1,2,3,4,2,1,2,3,3,2,2,4,3,2,2,2,3,4,2,4,2,1,1,2,3,2,2,2,5,2,4,1,3,1,2,3,5,3,3,4,3,2,3,3,3,2,4,3,2,2,1,2,2,2,1,2,2,2,1,3,2,6,4,4,6,1,4,5,3,2,4,6,6,7,4,6,5,7,4,4,4,1,2,-4858671920157297297
23,27,4,47,4,54,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11,0,2,2,2,2,2,2,2,2,1,3,2,2,1,1,2,3,2,1,2,2,2,2,2,1,2,3,2,1,4,3,2,2,2,4,3,2,4,4,2,2,3,2,2,3,3,2,2,2,2,3,3,3,2,2,2,3,3,2,4,2,2,1,1,2,2,1,1,2,2,2,1,2,2,6,4,5,5,3,4,5,5,3,4,5,4,5,4,5,5,5,3,5,4,3,2,-7036050161859028156
24,0,5,50,5,50,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"2,4,8",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27,0,61,0,0,0,4,3,2,2,3,1,2,3,1,4,3,2,2,2,3,3,1,1,3,3,4,1,4,1,3,3,2,2,2,4,1,4,3,2,1,3,1,1,3,2,5,1,5,1,4,1,2,1,5,4,2,5,1,3,2,5,5,1,4,1,1,2,2,1,1,1,1,1,2,2,2,2,2,4,4,4,7,7,7,7,5,1,5,6,7,7,4,7,7,7,7,7,7,7,2,5803403706126682551
25,0,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,8",-999,0,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,80,0,20,true,0,true,2,2,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,3,2,2,3,4,2,3,1,1,2,2,4,2,2,2,1,2,3,2,1,2,1,1,1,2,1,1,2,2,1,3,2,1,2,2,2,2,1,2,2,3,1,1,1,2,2,2,2,1,2,2,2,1,6,6,4,6,7,4,5,4,7,4,3,4,7,4,6,2,4,7,6,5,5,2,-91756939002985144
26,68,2,59,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,9",-999,0,-999,-999,-999,-999,37,-999,0,-999,-999,-999,-999,0,-999,67,0,63,0,-999,-999,4,4,1,1,2,1,1,3,1,4,3,1,1,2,3,4,1,1,3,4,3,3,4,2,1,2,3,1,2,4,2,1,4,2,1,3,1,3,4,1,4,1,4,1,4,1,1,4,4,5,3,3,1,3,4,3,3,1,5,1,2,1,2,1,2,1,1,2,1,1,1,3,1,6,1,7,7,6,5,5,4,2,4,4,6,7,7,6,6,7,6,5,6,4,2,5146662606398334726
27,0,5,50,5,50,1,1,1,"8,2",3,100,2,0,true,8,5,"1,2,5",-999,"9,8,6,4,3,2,1,5",-999,0,100,0,61,-999,0,-999,0,0,0,0,-999,true,-999,0,0,36,0,100,0,3,2,3,2,2,2,4,4,3,3,2,3,2,2,3,2,3,3,3,3,4,3,3,2,2,1,3,1,3,4,2,2,2,2,1,3,3,3,3,3,3,4,2,4,2,1,3,4,2,3,5,4,1,1,4,5,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,7,5,7,7,4,4,7,5,1,1,4,5,7,7,7,7,6,3,6,5,3,2,-8017416358483604287
28,75,4,66,4,42,2,2,2,"1,2",2,71,2,58,0,1,5,3,-999,"1,3,4,8",-999,100,34,-999,-999,-999,-999,-999,0,true,-999,-999,-999,-999,-999,-999,-999,36,0,100,0,3,3,1,1,2,2,1,2,1,3,3,2,1,2,3,3,1,1,3,3,3,1,3,1,2,2,3,2,1,2,2,2,3,4,1,2,2,1,4,1,5,1,4,2,3,1,1,2,3,3,2,4,2,4,1,3,3,1,4,1,1,1,2,1,1,2,1,1,1,1,1,1,1,5,5,6,7,6,7,5,5,2,4,3,5,5,6,7,7,5,6,5,6,6,2,5766953797243141683
29,0,5,50,5,50,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,8",-999,4,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,2,2,4,1,4,3,1,3,1,2,4,4,4,1,2,3,4,1,2,3,3,3,3,4,3,1,3,4,2,2,3,2,4,4,1,4,3,3,2,3,4,2,5,3,2,4,5,3,2,5,2,5,4,5,4,3,5,4,4,3,2,1,2,3,3,2,3,1,3,2,1,2,6,4,6,4,3,5,6,6,1,1,6,2,7,3,4,6,2,2,4,3,1,2,5816825066411796632
30,42,4,51,4,51,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,8",-999,0,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,0,true,52,0,0,0,3,3,2,2,3,1,2,2,1,4,3,2,1,2,4,4,1,1,3,3,3,1,2,3,3,3,4,2,1,3,1,3,4,4,3,3,2,2,4,2,4,2,5,1,5,2,1,2,5,3,3,5,1,4,2,5,5,1,4,1,2,1,1,1,2,2,2,2,1,1,1,1,1,6,4,7,6,6,5,7,7,6,4,4,5,7,4,7,7,6,7,7,6,6,2,-2793787558435290666
31,0,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"2,4,8",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,59,0,0,0,100,0,3,3,1,1,4,1,1,3,2,4,2,2,2,1,3,3,1,1,3,4,4,3,2,3,4,2,3,2,4,4,2,4,2,3,3,1,3,2,1,2,4,1,4,1,5,1,1,1,4,4,3,4,2,2,2,4,3,3,3,1,1,1,1,2,2,1,1,1,1,1,3,3,1,7,7,7,7,1,1,6,6,4,4,6,5,7,4,4,7,6,4,5,5,1,2,3430171509347261398
32,16,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"4,8",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,75,0,38,true,1,1,3,4,1,4,3,1,2,1,2,3,4,2,1,1,3,2,1,2,2,3,2,3,3,1,1,2,3,2,2,3,1,1,3,2,1,3,1,4,2,3,4,2,2,2,4,4,3,1,5,2,1,1,5,2,1,4,3,2,3,2,1,2,2,2,1,1,1,2,2,3,3,5,4,6,7,2,5,4,2,1,4,5,6,7,3,4,5,5,2,3,3,1,2,-105595218948442485
33,59,1,67,4,20,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,true,3,3,2,2,2,1,3,3,2,3,3,2,1,1,3,3,1,1,2,3,3,3,2,4,3,2,3,1,2,2,2,3,2,4,2,2,3,2,2,1,3,2,3,2,2,4,4,3,3,4,4,3,2,2,3,4,2,2,3,2,1,1,1,2,1,1,1,1,2,1,1,1,2,6,6,5,7,5,5,5,5,4,4,7,6,5,4,7,7,6,3,5,4,1,2,3641372343933892300
34,0,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,8",-999,0,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,57,0,2,2,2,2,1,3,3,2,2,2,2,3,3,3,1,2,2,1,1,3,3,4,2,1,3,4,1,4,4,1,3,3,2,1,4,3,4,4,1,4,3,4,4,4,5,4,2,1,4,3,2,3,2,4,5,1,2,5,3,2,1,3,1,3,2,1,3,2,1,1,3,3,3,3,6,4,5,3,3,3,3,2,3,1,3,7,6,4,5,5,7,1,1,1,2,1746639059167491420
35,0,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"4,8",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,53,0,70,0,2,2,2,3,1,2,3,1,2,2,1,2,2,3,2,2,3,2,2,2,2,3,1,3,3,2,3,3,3,2,3,4,2,2,2,2,3,3,2,3,3,3,2,3,2,3,2,1,3,1,4,3,3,1,1,2,2,1,2,3,3,1,1,2,2,3,1,1,2,3,1,3,2,5,4,6,7,5,2,3,4,4,5,5,3,6,2,6,6,2,5,3,3,2,2,8626820740140919460
